run_id,representation_id,method,parameters,seed,sample_rule,metrics,diagnostics,notes
exp_001,final_precluster_matrix,gmm,n_components=3; covariance_type=diag; n_init=3; max_iter=200; reg_covar=0.0001,42,fit=full_dataset_n119192; eval_subsample_n20000_seed42,aic=-7769132.74; bic=-7766381.21; log_likelihood=32.5932; runtime_sec=2.64,aic_bic_sweep,Task 2 AIC/BIC sweep; diag covariance justified d=47; sweep candidate
exp_002,final_precluster_matrix,gmm,n_components=4; covariance_type=diag; n_init=3; max_iter=200; reg_covar=0.0001,42,fit=full_dataset_n119192; eval_subsample_n20000_seed42,aic=-10096812.20; bic=-10093140.26; log_likelihood=42.3584; runtime_sec=2.09,aic_bic_sweep,Task 2 AIC/BIC sweep; diag covariance justified d=47; sweep candidate
exp_003,final_precluster_matrix,gmm,n_components=5; covariance_type=diag; n_init=3; max_iter=200; reg_covar=0.0001,42,fit=full_dataset_n119192; eval_subsample_n20000_seed42,aic=-11663727.27; bic=-11659134.93; log_likelihood=48.9323; runtime_sec=2.00,aic_bic_sweep,Task 2 AIC/BIC sweep; diag covariance justified d=47; sweep candidate
exp_004,final_precluster_matrix,gmm,n_components=6; covariance_type=diag; n_init=3; max_iter=200; reg_covar=0.0001,42,fit=full_dataset_n119192; eval_subsample_n20000_seed42,aic=-11545233.89; bic=-11539721.13; log_likelihood=48.4360; runtime_sec=2.68,aic_bic_sweep,Task 2 AIC/BIC sweep; diag covariance justified d=47; sweep candidate
exp_005,final_precluster_matrix,gmm,n_components=7; covariance_type=diag; n_init=3; max_iter=200; reg_covar=0.0001,42,fit=full_dataset_n119192; eval_subsample_n20000_seed42,aic=-11993621.28; bic=-11987188.12; log_likelihood=50.3178; runtime_sec=3.26,aic_bic_sweep,Task 2 AIC/BIC sweep; diag covariance justified d=47; sweep candidate
exp_006,final_precluster_matrix,gmm,n_components=8; covariance_type=diag; n_init=3; max_iter=200; reg_covar=0.0001,42,fit=full_dataset_n119192; eval_subsample_n20000_seed42,aic=-13320468.92; bic=-13313115.36; log_likelihood=55.8846; runtime_sec=5.26,aic_bic_sweep,Task 2 AIC/BIC sweep; diag covariance justified d=47; sweep candidate
exp_007,final_precluster_matrix,gmm,n_components=9; covariance_type=diag; n_init=3; max_iter=200; reg_covar=0.0001,42,fit=full_dataset_n119192; eval_subsample_n20000_seed42,aic=-13880784.88; bic=-13872510.91; log_likelihood=58.2358; runtime_sec=4.02,aic_bic_sweep,Task 2 AIC/BIC sweep; diag covariance justified d=47; BIC-selected model
exp_008,final_precluster_matrix,gmm,n_components=10; covariance_type=diag; n_init=3; max_iter=200; reg_covar=0.0001,42,fit=full_dataset_n119192; eval_subsample_n20000_seed42,aic=-13757385.00; bic=-13748190.62; log_likelihood=57.7190; runtime_sec=3.82,aic_bic_sweep,Task 2 AIC/BIC sweep; diag covariance justified d=47; sweep candidate
exp_009,final_precluster_matrix,gmm,n_components=9; covariance_type=diag; n_init=3; max_iter=200; reg_covar=0.0001; selected_model=True; selection_rule=bic_minimum,7|21|42|84|123,fit=full_dataset_n119192; eval_subsample_n20000_seed42,silhouette_mean=0.040499; silhouette_std=0.013656; calinski_harabasz_mean=853.6253; davies_bouldin_mean=3.586082; ari_between_runs_mean=0.630316; ari_between_runs_std=0.172158; ari_between_runs_min=0.437040; ari_std_vs_robust=0.373194; ari_gmm_vs_kmeans=0.234598; min_cluster_share=0.022418,seed_stability_5runs; repr_sensitivity_std_vs_robust; cross_method_ari_vs_kmeans,Task 3 final model row; BIC-optimal k=9; 5 seeds stability; cross-method ARI vs KMeans k=8
exp_010,final_precluster_matrix_dense3000,spectral_tutorial,n_clusters=3; graph=knn_rbf; k_graph=15; mutual=False; sigma=auto(4.2570); normalized=True; lloyd_kmeans=True; n_dense=3000,7|42|123,stratified_n10000_by_kmeans_k8_seed42_then_random_n3000,silhouette_mean=0.293988; silhouette_std=0.000000; ch_mean=300.42; db_mean=1.853947; min_share_mean=0.057000; eigengap_suggested_k=7,tutorial_pipeline; dense_eigh; eigengap; seed_stability; kgraph_robustness,"E2 rewritten with tutorial pipeline (dense eigh, RBF kNN, lloyd_kmeans); selected_best_k"
exp_011,final_precluster_matrix_dense3000,spectral_tutorial,n_clusters=4; graph=knn_rbf; k_graph=15; mutual=False; sigma=auto(4.2570); normalized=True; lloyd_kmeans=True; n_dense=3000,7|42|123,stratified_n10000_by_kmeans_k8_seed42_then_random_n3000,silhouette_mean=0.247508; silhouette_std=0.000000; ch_mean=350.47; db_mean=1.328829; min_share_mean=0.035000; eigengap_suggested_k=7,tutorial_pipeline; dense_eigh; eigengap; seed_stability; kgraph_robustness,"E2 rewritten with tutorial pipeline (dense eigh, RBF kNN, lloyd_kmeans); sweep_candidate"
exp_012,final_precluster_matrix_dense3000,spectral_tutorial,n_clusters=5; graph=knn_rbf; k_graph=15; mutual=False; sigma=auto(4.2570); normalized=True; lloyd_kmeans=True; n_dense=3000,7|42|123,stratified_n10000_by_kmeans_k8_seed42_then_random_n3000,silhouette_mean=0.032761; silhouette_std=0.000000; ch_mean=254.20; db_mean=1.793931; min_share_mean=0.057000; eigengap_suggested_k=7,tutorial_pipeline; dense_eigh; eigengap; seed_stability; kgraph_robustness,"E2 rewritten with tutorial pipeline (dense eigh, RBF kNN, lloyd_kmeans); sweep_candidate"
