representation,k,seed_a,seed_b,ari_between_runs
final_precluster_matrix,3,7,21,0.9880419847525221
final_precluster_matrix,3,7,42,0.9995449161537535
final_precluster_matrix,3,7,84,0.9907572572328933
final_precluster_matrix,3,7,123,0.9880419847525221
final_precluster_matrix,3,7,168,0.9880419847525221
final_precluster_matrix,3,7,256,0.9981153483926064
final_precluster_matrix,3,7,512,0.9880419847525221
final_precluster_matrix,3,7,1024,0.9883327560789005
final_precluster_matrix,3,7,2026,0.9995774180806597
final_precluster_matrix,3,21,42,0.988042015922084
final_precluster_matrix,3,21,84,0.9965569113844647
final_precluster_matrix,3,21,123,1.0
final_precluster_matrix,3,21,168,1.0
final_precluster_matrix,3,21,256,0.9891404740014668
final_precluster_matrix,3,21,512,1.0
final_precluster_matrix,3,21,1024,0.9995773993174858
final_precluster_matrix,3,21,2026,0.9876221228796082
final_precluster_matrix,3,42,84,0.9906278855363344
final_precluster_matrix,3,42,123,0.988042015922084
final_precluster_matrix,3,42,168,0.988042015922084
final_precluster_matrix,3,42,256,0.9976607232345436
final_precluster_matrix,3,42,512,0.988042015922084
final_precluster_matrix,3,42,1024,0.988332786467001
final_precluster_matrix,3,42,2026,0.9994474135075561
final_precluster_matrix,3,84,123,0.9965569113844647
final_precluster_matrix,3,84,168,0.9965569113844647
final_precluster_matrix,3,84,256,0.9922458798375452
final_precluster_matrix,3,84,512,0.9965569113844647
final_precluster_matrix,3,84,1024,0.9966542779817468
final_precluster_matrix,3,84,2026,0.9904014554989995
final_precluster_matrix,3,123,168,1.0
final_precluster_matrix,3,123,256,0.9891404740014668
final_precluster_matrix,3,123,512,1.0
final_precluster_matrix,3,123,1024,0.9995773993174858
final_precluster_matrix,3,123,2026,0.9876221228796082
final_precluster_matrix,3,168,256,0.9891404740014668
final_precluster_matrix,3,168,512,1.0
final_precluster_matrix,3,168,1024,0.9995773993174858
final_precluster_matrix,3,168,2026,0.9876221228796082
final_precluster_matrix,3,256,512,0.9891404740014668
final_precluster_matrix,3,256,1024,0.9893667661386069
final_precluster_matrix,3,256,2026,0.9978230763812752
final_precluster_matrix,3,512,1024,0.9995773993174858
final_precluster_matrix,3,512,2026,0.9876221228796082
final_precluster_matrix,3,1024,2026,0.9879128286057642
final_precluster_matrix,4,7,21,0.9962513746308008
final_precluster_matrix,4,7,42,0.9962200109872424
final_precluster_matrix,4,7,84,0.9867871976524
final_precluster_matrix,4,7,123,0.838689613535166
final_precluster_matrix,4,7,168,0.9965946441254554
final_precluster_matrix,4,7,256,0.9961545615080137
final_precluster_matrix,4,7,512,0.9961576867013009
final_precluster_matrix,4,7,1024,0.9946916726333166
final_precluster_matrix,4,7,2026,0.996313717243949
final_precluster_matrix,4,21,42,0.9940369960974491
final_precluster_matrix,4,21,84,0.9904528933550253
final_precluster_matrix,4,21,123,0.8396734907447141
final_precluster_matrix,4,21,168,0.9995309581719006
final_precluster_matrix,4,21,256,0.9932239235568884
final_precluster_matrix,4,21,512,0.9931647572136507
final_precluster_matrix,4,21,1024,0.9920747549443453
final_precluster_matrix,4,21,2026,0.9931959224315585
final_precluster_matrix,4,42,84,0.9854524611172539
final_precluster_matrix,4,42,123,0.8413689379238202
final_precluster_matrix,4,42,168,0.9945045192314699
final_precluster_matrix,4,42,256,0.9986838101232662
final_precluster_matrix,4,42,512,0.9985619296629535
final_precluster_matrix,4,42,1024,0.9980307338602294
final_precluster_matrix,4,42,2026,0.9984056952354798
final_precluster_matrix,4,84,123,0.8469348139907205
final_precluster_matrix,4,84,168,0.9901107901364433
final_precluster_matrix,4,84,256,0.9843399227452932
final_precluster_matrix,4,84,512,0.9842128858088677
final_precluster_matrix,4,84,1024,0.9835619414321014
final_precluster_matrix,4,84,2026,0.9842439114293671
final_precluster_matrix,4,123,168,0.839753106882062
final_precluster_matrix,4,123,256,0.8402167130353138
final_precluster_matrix,4,123,512,0.8401106484250143
final_precluster_matrix,4,123,1024,0.8408401988988589
final_precluster_matrix,4,123,2026,0.8399742003386605
final_precluster_matrix,4,168,256,0.9936912102509697
